gene,basX,basY,Er2X,Er2Y,LymX,LymY,My2X,My2Y,StemX,StemY
PREX2,0.06,0.24,0.02,0.16,0.02,0.20,0.12,0.42,0.57,0.83
GTSE1,0.76,1.63,0.73,1.62,0.56,1.42,0.64,1.61,0.14,0.70
HIST1H2BH,0.47,1.02,0.84,1.47,0.65,1.59,0.26,0.72,0.12,0.48
KIF18B,0.14,0.43,0.14,0.47,0.08,0.32,0.15,0.53,0.02,0.17
ENPP3,0.26,0.72,0.01,0.07,0.00,0.05,-0.00,0.00,0.00,0.05
TTK,0.42,1.03,0.84,1.66,0.18,0.56,0.40,0.96,0.07,0.38
NUPR1,-0.00,0.00,0.04,0.36,0.00,0.06,0.01,0.11,0.01,0.10
ZNF385D,1.61,1.75,3.20,2.57,0.02,0.20,0.19,0.64,0.57,0.95
DYSF,-0.00,0.00,-0.00,0.00,0.00,0.03,0.06,0.34,0.00,0.08
AQP9,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.04,0.33,0.00,0.03
CA1,0.05,0.42,9.34,14.75,0.02,0.26,0.05,0.62,0.01,0.09
SLC40A1,2.32,2.30,5.10,3.07,0.08,0.48,0.79,1.14,0.70,0.94
CLSPN,2.22,3.10,2.24,3.13,1.11,2.25,2.40,3.15,0.42,1.34
FNDC3B,1.86,2.16,0.49,0.84,0.06,0.28,3.06,2.38,0.17,0.43
PAX5,0.01,0.08,0.02,0.26,1.25,2.04,0.02,0.17,0.00,0.07
TYMS,7.83,8.92,9.05,8.91,4.06,7.01,6.63,7.38,1.99,4.81
AL096865.1,0.10,0.36,0.01,0.10,0.04,0.25,0.13,0.49,0.04,0.21
NEIL1,0.03,0.18,0.05,0.22,1.21,1.78,0.02,0.16,0.11,0.34
CEBPD,0.11,0.40,0.04,0.26,0.03,0.24,4.93,5.57,0.04,0.43
MCM6,2.42,2.49,3.28,3.46,0.67,1.51,3.40,3.12,0.61,1.27
ACY3,0.01,0.08,0.01,0.09,0.13,0.62,0.27,0.81,0.10,0.79
CD79B,0.50,0.79,0.27,1.03,11.45,7.05,0.97,1.45,0.56,0.76
VPREB3,0.03,0.18,0.05,0.59,12.93,9.88,0.18,1.66,0.02,0.14
POU2AF1,-0.00,0.00,0.01,0.11,0.75,1.09,0.01,0.08,0.00,0.03
SOCS2,0.72,1.10,0.94,1.10,4.01,3.55,0.29,0.82,1.50,1.63
CORO1A,3.32,3.05,0.99,1.72,1.89,2.97,5.64,5.68,1.80,1.87
MLLT3,1.35,1.44,2.68,2.09,0.10,0.48,0.78,1.12,2.37,2.07
SPC25,0.98,2.08,0.84,1.58,0.44,1.14,0.66,1.39,0.16,0.81
ITGA2B,0.47,1.18,6.51,4.15,0.02,0.22,0.08,0.50,0.07,0.27
DEPDC1,0.28,0.94,0.48,1.23,0.23,0.75,0.29,0.85,0.07,0.42
CRHBP,0.90,1.37,0.07,0.50,0.06,0.41,0.17,0.55,5.01,4.53
LINC02573,0.82,1.00,0.73,1.00,0.03,0.20,0.40,0.78,1.06,1.14
NPY,0.01,0.08,0.00,0.05,1.31,2.20,0.03,0.58,0.00,0.05
AC026369.3,0.31,0.68,0.07,0.29,0.02,0.19,0.02,0.14,1.11,1.28
MMRN1,0.43,0.74,0.19,0.53,0.16,0.51,0.39,0.71,1.33,1.28
GMPR,0.69,0.94,2.05,1.71,0.03,0.20,0.34,0.81,0.30,0.60
PLPPR3,0.08,0.32,0.02,0.19,0.01,0.12,2.95,3.22,0.00,0.07
ARHGAP6,0.07,0.25,0.09,0.32,0.00,0.06,0.02,0.16,0.05,0.23
LY86,0.04,0.28,0.01,0.09,0.17,0.45,0.52,1.29,0.01,0.11
ISG20,0.60,0.91,0.07,0.31,1.74,1.94,0.31,0.82,0.28,0.62
MCM5,3.04,3.19,4.79,4.34,1.07,2.02,3.75,3.48,0.98,1.71
IGSF10,0.80,1.05,0.58,0.87,0.08,0.33,0.33,0.62,0.81,0.98
APOC1,0.44,1.25,17.04,13.53,0.05,0.47,0.14,1.40,0.02,0.14
SPIB,0.37,1.85,0.01,0.10,0.04,0.41,0.06,0.40,0.01,0.11
CD79A,0.15,0.40,0.06,0.27,4.27,3.82,0.17,0.64,0.12,0.37
AZU1,0.40,1.02,0.08,0.33,0.10,0.82,29.69,39.10,0.04,0.20
NPR3,1.85,2.11,1.77,1.81,0.13,0.65,1.28,1.65,3.36,2.27
MNDA,0.09,0.48,-0.00,0.00,0.00,0.03,2.10,3.21,0.00,0.11
TRIM28,5.26,3.31,7.15,4.30,1.66,2.23,5.84,3.64,1.91,1.73
RBP7,-0.00,0.00,0.01,0.09,0.00,0.05,0.19,1.34,0.05,1.02
RNF7,2.20,1.69,2.35,1.70,1.00,1.17,2.94,2.00,1.79,1.37
MME,0.01,0.08,0.05,0.55,3.85,3.31,0.03,0.19,0.01,0.11
GLIPR1,0.86,1.47,0.16,0.57,0.34,0.84,2.42,2.50,2.07,1.74
RASGRP3,0.54,1.00,0.01,0.07,0.02,0.16,0.38,0.94,0.04,0.33
HIST2H4B,0.13,0.45,0.12,0.38,0.18,0.56,0.09,0.32,0.02,0.16
VPREB1,0.04,0.28,0.08,0.68,11.17,9.15,0.24,1.02,0.07,0.29
SLC2A4RG,1.10,1.35,0.76,1.13,0.41,0.92,2.39,2.02,0.42,0.78
PLEK,4.80,4.32,0.22,0.69,0.19,0.85,4.53,3.24,0.78,0.99
RGS18,0.42,0.98,0.47,0.91,0.01,0.08,0.46,0.80,0.23,0.64
E2F8,0.31,0.75,0.38,0.85,0.37,0.95,0.21,0.60,0.07,0.41
PYGL,0.96,1.15,0.70,0.96,0.06,0.37,2.03,1.80,0.69,0.86
MCM4,3.23,3.40,3.29,3.42,1.07,2.16,4.22,3.91,0.85,1.78
CDC25B,0.34,0.94,0.33,0.95,0.25,0.82,0.36,1.00,0.12,0.49
RBPMS,0.28,0.63,0.03,0.18,0.07,0.38,0.20,0.49,1.04,1.08
DEPP1,0.01,0.08,0.01,0.13,0.67,1.32,0.02,0.22,0.05,0.29
CEBPB,0.90,1.35,0.76,0.94,0.05,0.33,1.19,1.75,2.18,2.98
KIF20A,0.13,0.49,0.17,0.60,0.07,0.36,0.15,0.52,0.04,0.28
RBPMS2,0.01,0.11,1.15,1.41,0.00,0.05,0.01,0.09,0.00,0.06
NPDC1,0.99,1.51,0.15,0.65,0.15,0.65,2.14,2.35,2.18,1.83
IRF8,0.66,3.30,0.02,0.14,0.29,2.36,3.36,7.02,0.03,0.37
HGF,0.66,1.52,0.02,0.16,0.03,0.23,1.68,2.49,0.03,0.20
NR2F1,-0.00,0.00,0.01,0.11,0.00,0.07,0.09,0.98,0.07,1.39
NKG7,0.48,0.72,0.06,0.31,0.09,0.35,1.63,1.69,0.10,0.37
AOAH,0.91,1.20,0.54,0.92,0.02,0.15,0.29,0.68,0.10,0.35
UROD,1.82,1.98,10.09,5.78,0.44,0.90,2.12,1.89,1.31,1.37
DCTPP1,2.90,2.61,4.50,3.21,0.60,1.30,4.04,3.23,1.32,1.62
TENT5A,6.00,7.78,0.79,1.22,0.09,0.35,2.43,3.89,0.36,0.73
HMMR,1.30,3.56,1.91,4.16,0.77,2.76,0.89,2.66,0.30,1.86
TESPA1,1.29,1.28,0.77,1.00,0.13,0.43,0.47,0.74,0.89,1.02
TRIB2,0.25,0.63,2.61,2.40,0.05,0.30,0.01,0.11,0.01,0.20
STAB2,-0.00,0.00,0.00,0.05,0.01,0.10,0.01,0.15,0.02,0.39
AVP,1.43,3.17,0.16,1.07,0.14,1.02,0.35,1.24,12.06,10.56
KIF2C,0.49,1.23,0.87,1.78,0.19,0.65,0.39,0.85,0.11,0.53
PVT1,0.19,0.52,4.76,3.81,0.06,0.31,0.33,0.83,0.09,0.33
BACH2,0.11,0.36,0.10,0.37,1.20,1.60,0.11,0.36,0.08,0.30
RRM2,0.95,2.21,1.16,2.20,0.90,1.98,1.05,2.32,0.14,0.64
PCDH9,0.71,1.58,0.18,0.52,0.39,1.10,0.15,0.45,1.16,1.84
AFF2,0.47,0.79,0.06,0.25,0.01,0.08,0.23,0.53,0.01,0.10
CSF3R,3.05,3.57,0.27,1.18,0.20,1.15,7.58,4.94,3.34,2.63
BTG2,0.93,2.38,0.11,0.44,2.52,2.25,0.46,1.04,0.71,1.13
JAML,0.14,0.52,0.02,0.17,0.11,0.40,0.47,1.22,0.92,1.10
HELLS,4.27,4.06,2.86,3.45,1.64,2.89,4.68,4.51,1.17,2.35
AC011139.1,0.11,0.49,0.01,0.07,0.01,0.22,0.02,0.23,3.50,4.53
RHEX,5.24,3.97,0.06,0.40,0.03,0.26,0.98,1.76,0.36,0.79
FANCD2,0.89,1.48,0.83,1.34,0.20,0.55,0.74,1.29,0.20,0.62
SEPT9,0.97,1.48,0.62,0.80,2.09,2.03,1.27,1.34,0.56,0.77
C1QA,-0.00,0.00,0.17,1.44,0.02,0.31,0.01,0.20,-0.00,0.00
HMOX1,0.01,0.08,0.45,4.36,0.05,0.79,0.05,0.42,0.00,0.05
CD14,-0.00,0.00,0.02,0.21,0.00,0.07,0.64,3.49,0.01,0.32
ORC6,1.51,1.97,2.33,3.16,0.49,1.13,1.49,2.27,0.35,1.07
AC004540.2,0.18,0.45,0.19,0.51,0.02,0.21,0.08,0.30,0.60,0.85
C1QC,-0.00,0.00,0.10,0.89,0.01,0.26,-0.00,0.00,0.00,0.03
MYCT1,0.60,0.93,0.68,0.95,0.02,0.21,0.14,0.48,0.86,1.10
CEBPA,3.08,3.60,0.11,0.50,0.06,0.41,4.95,4.90,0.28,0.63
MCM3,3.80,3.76,5.77,5.12,1.53,2.88,4.29,4.11,1.33,2.28
CKAP2L,0.53,1.31,0.90,1.74,0.38,0.95,0.34,0.94,0.12,0.60
SAMHD1,0.74,2.38,0.17,0.48,0.10,1.19,3.88,7.60,0.17,0.67
ADGRL4,-0.00,0.00,-0.00,0.00,0.00,0.05,0.03,0.32,0.04,0.81
PLK1,0.44,1.57,0.78,2.52,0.35,1.45,0.52,1.96,0.08,0.56
PKLR,0.01,0.08,0.94,1.86,0.00,0.03,0.01,0.17,-0.00,0.00
BLNK,0.12,0.68,0.01,0.17,1.17,1.61,0.24,0.78,0.01,0.08
AP001059.3,-0.00,0.00,0.00,0.05,0.30,0.62,0.02,0.13,0.02,0.16
DHFR,2.98,3.57,2.57,3.51,1.28,2.30,3.20,3.86,0.67,1.70
PBK,0.07,0.32,0.41,1.07,0.27,0.87,0.02,0.15,0.02,0.17
HBQ1,0.03,0.16,2.09,2.48,0.00,0.07,0.06,0.62,0.02,0.13
CSF2RB,3.30,4.45,3.56,2.97,0.02,0.15,0.20,0.55,0.03,0.18
PROM1,0.59,0.95,0.17,0.56,0.15,0.60,1.19,1.36,1.40,1.35
CCNA2,0.78,1.62,1.10,2.38,0.50,1.25,0.78,1.70,0.13,0.56
NR2F2,-0.00,0.00,-0.00,0.00,0.00,0.06,0.02,0.26,0.02,0.42
PHF3,2.75,2.34,3.57,2.85,1.29,1.60,3.02,2.27,1.95,1.77
TMEM243,0.54,0.73,0.49,0.68,2.08,1.84,0.57,0.81,0.53,0.71
CYGB,0.01,0.11,0.01,0.07,1.06,1.89,0.03,0.45,0.00,0.07
PTMS,2.52,3.43,3.20,2.95,0.34,1.23,0.97,1.73,2.89,3.12
RAB11FIP1,2.17,2.80,1.12,1.32,0.23,0.95,3.53,3.74,0.43,0.87
APOE,0.01,0.11,4.30,6.23,0.03,0.61,0.06,0.80,0.01,0.11
CENPM,1.37,2.17,2.17,2.91,0.85,1.76,1.44,2.15,0.33,1.18
RNF152,0.01,0.11,-0.00,0.00,0.36,0.77,0.02,0.16,0.00,0.07
