gene,basX,basY,Er2X,Er2Y,LymX,LymY,My2X,My2Y,StemX,StemY
MED28,2.05,1.74,2.87,1.94,0.69,0.99,2.27,1.86,1.40,1.23
CTNNBL1,3.58,2.90,8.69,4.31,0.66,1.08,1.68,1.48,0.86,0.97
TYROBP,0.65,0.96,0.25,0.89,0.11,0.60,2.48,4.85,0.24,0.64
KIF4A,0.70,1.64,0.66,1.62,0.34,1.05,0.44,1.20,0.14,0.74
C1QTNF4,1.82,2.96,0.53,2.88,0.93,2.65,19.17,15.76,4.87,4.92
HACD1,1.46,1.59,2.44,1.84,0.22,0.63,1.07,1.21,0.77,1.01
ZWINT,1.46,2.06,2.14,2.73,0.77,1.53,1.30,1.85,0.34,1.06
HOPX,1.71,2.33,0.16,1.06,0.42,1.84,1.36,1.99,5.64,3.29
ELANE,0.03,0.16,0.04,0.21,0.04,0.48,26.64,46.93,0.03,0.19
LCN6,-0.00,0.00,0.01,0.11,0.86,1.11,0.01,0.14,-0.00,0.00
EBF1,-0.00,0.00,0.04,0.35,3.40,3.78,0.03,0.28,0.01,0.10
SYNE2,0.09,0.54,0.11,0.55,1.01,2.20,0.08,0.67,0.07,0.91
SPNS3,0.44,0.85,0.05,0.35,0.19,0.76,2.46,2.58,0.54,0.88
C2orf88,0.07,0.30,0.89,0.99,0.00,0.08,0.05,0.35,0.06,0.25
RAD51AP1,1.44,2.30,1.88,2.60,0.79,1.58,1.52,2.33,0.43,1.28
ANGPT2,1.70,2.74,0.19,0.52,0.08,0.33,0.05,0.23,0.10,0.32
AURKA,0.35,1.15,0.68,1.62,0.10,0.44,0.22,0.58,0.06,0.37
CDCA7,2.12,2.17,2.73,2.55,0.79,1.60,3.23,2.54,0.63,1.23
CDCA5,1.08,1.77,1.01,1.63,0.45,1.06,0.83,1.62,0.16,0.73
KEL,0.04,0.28,0.72,0.97,0.00,0.07,0.01,0.08,0.00,0.05
MT1X,0.40,1.01,0.64,0.99,3.20,3.45,0.41,0.90,0.07,0.28
NDUFS3,2.81,2.21,4.14,2.74,0.94,1.40,3.30,2.27,1.22,1.22
SLC1A6,0.02,0.14,0.01,0.10,0.00,0.03,0.01,0.09,0.30,0.61
PIF1,0.13,0.61,0.16,0.78,0.07,0.46,0.08,0.56,0.03,0.30
CMTM7,0.95,1.14,0.38,0.65,3.14,2.97,1.09,1.09,0.45,0.68
STXBP5,0.75,0.95,1.55,1.60,0.05,0.34,0.66,0.92,0.29,0.58
NR4A3,0.85,1.88,0.03,0.19,0.01,0.08,0.40,0.88,0.11,0.41
RPS4Y2,-0.00,0.00,0.00,0.05,0.97,1.62,0.02,0.21,0.00,0.03
FAM178B,0.26,0.68,3.96,7.92,0.01,0.12,0.03,0.34,0.01,0.08
CFH,0.12,0.44,0.26,0.56,0.01,0.08,0.04,0.23,0.53,0.85
PLBD1,-0.00,0.00,0.01,0.07,0.00,0.03,0.21,1.20,0.00,0.05
NUSAP1,3.64,6.30,3.50,6.09,3.34,7.21,2.58,4.92,0.84,3.52
CAVIN1,0.58,0.94,2.30,2.13,0.03,0.26,0.15,0.44,1.19,1.20
SASH1,-0.00,0.00,-0.00,0.00,0.00,0.08,0.04,0.35,0.00,0.11
ZBTB16,1.80,1.74,0.66,0.97,0.03,0.22,1.02,1.30,0.28,0.60
TPM1,0.64,1.05,7.21,4.01,0.11,0.42,0.33,0.74,0.85,1.01
LTB,0.04,0.21,0.07,0.31,7.95,16.64,0.06,0.41,0.37,0.88
SLC15A3,0.01,0.11,0.00,0.05,0.00,0.07,0.06,0.38,0.00,0.08
ADGRF5,-0.00,0.00,0.00,0.05,0.00,0.08,0.02,0.22,0.03,0.72
MAFB,-0.00,0.00,0.02,0.20,0.01,0.14,0.27,1.70,0.06,1.37
ALDH1A1,1.65,1.76,6.33,5.53,0.15,0.52,0.43,0.94,2.61,2.05
RHAG,-0.00,0.00,1.47,2.52,-0.00,0.00,0.01,0.12,0.00,0.06
PRPF4B,4.84,3.24,7.62,4.82,2.43,2.39,5.58,3.42,2.72,2.18
ANGPT1,1.38,1.77,0.35,0.76,0.10,0.58,0.49,1.05,2.03,1.88
AURKB,1.24,2.50,1.23,2.54,0.97,2.23,0.96,2.25,0.20,0.97
AREG,15.82,22.34,1.20,5.42,2.45,10.08,53.98,46.30,35.50,29.12
